epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17358.3,0.31323,0.28251,0.95617,0.99323,0.99351,0.99399,0.95719,0.28967,0.23433,0.76082,0.00098525,0.00098525,0.00098525
43,17768.1,0.31814,0.2704,0.96284,0.9941,0.98701,0.99297,0.95545,0.29353,0.24073,0.76486,0.0009605,0.0009605,0.0009605
44,18179.7,0.32515,0.28565,0.96608,0.99617,0.99026,0.99327,0.96039,0.29138,0.22491,0.7583,0.00093575,0.00093575,0.00093575
45,18594.1,0.28642,0.25514,0.94016,0.98702,0.98783,0.99184,0.96459,0.27148,0.21745,0.73782,0.000911,0.000911,0.000911
46,19010.7,0.3102,0.27743,0.94918,0.98659,0.99026,0.99384,0.95456,0.30273,0.25512,0.75964,0.00088625,0.00088625,0.00088625
47,19423.6,0.29594,0.26991,0.95455,0.99148,0.98377,0.9948,0.95619,0.29086,0.23132,0.76583,0.0008615,0.0008615,0.0008615
48,19834.3,0.30127,0.27169,0.95694,0.99923,0.98701,0.99487,0.96299,0.27739,0.21443,0.7506,0.00083675,0.00083675,0.00083675
49,20246.3,0.30673,0.26944,0.96569,0.98822,0.99026,0.9928,0.95201,0.2914,0.26591,0.76571,0.000812,0.000812,0.000812
50,20660.4,0.30644,0.27856,0.96459,0.97672,0.98701,0.99206,0.94872,0.28579,0.23738,0.75362,0.00078725,0.00078725,0.00078725
51,21076.7,0.30377,0.28235,0.96144,0.99639,0.99026,0.99497,0.96824,0.25708,0.20205,0.72449,0.0007625,0.0007625,0.0007625
52,21491.8,0.29609,0.26452,0.9487,0.99288,0.99026,0.993,0.96148,0.2633,0.23598,0.74326,0.00073775,0.00073775,0.00073775
53,21907.9,0.28755,0.26221,0.95025,0.993,0.99026,0.99412,0.96132,0.26398,0.21272,0.73084,0.000713,0.000713,0.000713
54,22323.2,0.28999,0.25541,0.94452,0.99026,0.98701,0.9938,0.97141,0.2429,0.20043,0.70682,0.00068825,0.00068825,0.00068825
55,22743.3,0.28736,0.26311,0.95154,0.98917,0.98701,0.99444,0.97272,0.23585,0.19906,0.70505,0.0006635,0.0006635,0.0006635
56,23159.7,0.28726,0.26387,0.95352,0.9868,0.99026,0.99338,0.96095,0.27305,0.22781,0.75517,0.00063875,0.00063875,0.00063875
57,23576.5,0.27777,0.24625,0.94367,0.98939,0.99026,0.99237,0.97071,0.24314,0.22018,0.71074,0.000614,0.000614,0.000614
58,23993,0.27911,0.246,0.93936,0.98687,0.99351,0.99416,0.96822,0.25318,0.19547,0.72397,0.00058925,0.00058925,0.00058925
59,24411.8,0.27179,0.24494,0.9368,0.98641,0.99026,0.99423,0.97013,0.25155,0.20595,0.71583,0.0005645,0.0005645,0.0005645
60,24828.3,0.274,0.2488,0.93662,0.97652,0.98377,0.99175,0.97039,0.22329,0.22947,0.69774,0.00053975,0.00053975,0.00053975
